0,0.880033811,0.045622542,8.97E-01,8.31E-01,9.01E-01,9.03E-01,9.56E-01,8.35E-01,9.23E-01,9.09E-01,8.30E-01,8.15E-01
1,0.882702801,0.023178285,8.63E-01,8.63E-01,8.85E-01,9.03E-01,9.28E-01,8.91E-01,9.01E-01,8.82E-01,8.65E-01,8.46E-01
2,0.891151317,0.04230638,9.17E-01,8.61E-01,8.79E-01,9.17E-01,9.58E-01,8.90E-01,9.54E-01,8.32E-01,8.64E-01,8.39E-01
3,0.892477942,0.053753821,9.13E-01,9.39E-01,8.73E-01,9.36E-01,9.18E-01,9.38E-01,9.40E-01,8.77E-01,7.95E-01,7.96E-01
4,0.896885828,0.055178648,9.34E-01,9.16E-01,9.10E-01,9.11E-01,9.50E-01,9.41E-01,9.53E-01,8.29E-01,8.39E-01,7.85E-01
5,0.908273297,0.040852954,9.21E-01,8.85E-01,9.10E-01,9.36E-01,9.70E-01,9.22E-01,9.66E-01,8.65E-01,8.58E-01,8.50E-01
6,0.908446116,0.038622098,9.39E-01,9.67E-01,9.01E-01,9.20E-01,8.91E-01,9.08E-01,9.29E-01,8.26E-01,8.64E-01,9.39E-01
7,0.904951274,0.03951338,9.09E-01,9.48E-01,8.21E-01,8.74E-01,9.43E-01,9.32E-01,9.31E-01,8.54E-01,9.21E-01,9.16E-01
8,0.903342263,0.047434006,8.65E-01,9.67E-01,8.28E-01,8.77E-01,9.26E-01,9.34E-01,9.55E-01,8.68E-01,9.59E-01,8.56E-01
9,0.899238948,0.036909058,9.32E-01,9.42E-01,8.62E-01,8.76E-01,8.45E-01,9.13E-01,9.62E-01,9.04E-01,8.97E-01,8.59E-01
10,0.896218111,0.041426917,9.13E-01,9.16E-01,9.15E-01,8.56E-01,8.16E-01,9.68E-01,9.23E-01,8.97E-01,9.09E-01,8.50E-01
11,0.882635665,0.040855374,9.12E-01,9.07E-01,9.35E-01,8.29E-01,8.34E-01,9.11E-01,9.31E-01,8.35E-01,8.41E-01,8.90E-01
12,0.876642168,0.055282568,9.22E-01,8.75E-01,9.30E-01,8.38E-01,7.74E-01,9.43E-01,8.64E-01,9.11E-01,7.96E-01,9.12E-01
13,0.876010416,0.065834037,8.95E-01,9.18E-01,7.24E-01,9.13E-01,8.58E-01,8.86E-01,8.73E-01,9.40E-01,7.98E-01,9.55E-01
14,0.857949785,0.090891524,9.25E-01,8.98E-01,6.08E-01,8.42E-01,8.47E-01,8.66E-01,8.96E-01,9.01E-01,8.38E-01,9.59E-01
15,0.888564281,0.049412236,8.62E-01,8.35E-01,8.00E-01,9.39E-01,9.22E-01,8.39E-01,9.13E-01,9.06E-01,9.06E-01,9.64E-01
16,0.887576552,0.035958148,8.74E-01,8.08E-01,8.60E-01,8.71E-01,9.18E-01,8.88E-01,9.25E-01,9.16E-01,8.82E-01,9.34E-01
17,0.896725265,0.061115179,9.14E-01,8.81E-01,8.67E-01,9.20E-01,9.34E-01,7.44E-01,9.37E-01,9.65E-01,8.58E-01,9.50E-01
18,0.867124859,0.091119666,7.36E-01,8.89E-01,8.69E-01,9.25E-01,9.24E-01,6.69E-01,9.24E-01,9.66E-01,8.30E-01,9.39E-01
19,0.896312528,0.053516954,8.10E-01,8.71E-01,9.14E-01,9.08E-01,8.73E-01,9.32E-01,9.26E-01,9.74E-01,8.05E-01,9.50E-01
